ds,cpu_forecast_mean,cpu_lower,cpu_upper,cpu_forecast_min,cpu_forecast_max
2026-09-21 05:00:00,10.718108,1.8015355,19.58125,1.8015355,19.58125
2026-09-21 06:00:00,10.727023,1.8437498,19.604961,1.8437498,19.604961
2026-09-21 07:00:00,10.68675,1.796092,19.5523,1.796092,19.5523
2026-09-21 08:00:00,10.684216,1.7594774,19.492825,1.7594774,19.492825
2026-09-21 09:00:00,10.713951,1.7311406,19.528996,1.7311406,19.528996
2026-09-21 10:00:00,10.731367,1.685797,19.527582,1.685797,19.527582
2026-09-21 11:00:00,10.733915,1.6797626,19.515038,1.6797626,19.515038
2026-09-21 12:00:00,10.755632,1.693273,19.524014,1.693273,19.524014
2026-09-21 13:00:00,10.724905,1.6530747,19.452663,1.6530747,19.452663
2026-09-21 14:00:00,10.697821,1.6300182,19.40448,1.6300182,19.40448
2026-09-21 15:00:00,10.678294,1.6026778,19.36782,1.6026778,19.36782
2026-09-21 16:00:00,10.72141,1.6418462,19.365883,1.6418462,19.365883
2026-09-21 17:00:00,10.742636,1.6335611,19.364206,1.6335611,19.364206
2026-09-21 18:00:00,10.761179,1.6573629,19.385273,1.6573629,19.385273
2026-09-21 19:00:00,10.720628,1.6771798,19.312561,1.6771798,19.312561
2026-09-21 20:00:00,10.717556,1.6406823,19.373867,1.6406823,19.373867
2026-09-21 21:00:00,10.713344,1.6268406,19.342499,1.6268406,19.342499
2026-09-21 22:00:00,10.702068,1.6424096,19.305649,1.6424096,19.305649
2026-09-21 23:00:00,10.698567,1.6111618,19.233864,1.6111618,19.233864
2026-09-22 00:00:00,10.715115,1.611321,19.227636,1.611321,19.227636
2026-09-22 01:00:00,10.693974,1.5732207,19.188007,1.5732207,19.188007
2026-09-22 02:00:00,10.712392,1.6115276,19.142004,1.6115276,19.142004
2026-09-22 03:00:00,10.640778,1.5258387,19.062603,1.5258387,19.062603
2026-09-22 04:00:00,10.586427,1.4736567,18.95818,1.4736567,18.95818
2026-09-22 05:00:00,10.542252,1.5112352,18.893368,1.5112352,18.893368
2026-09-22 06:00:00,10.56364,1.5067129,18.949978,1.5067129,18.949978
2026-09-22 07:00:00,10.583799,1.4726197,19.037453,1.4726197,19.037453
2026-09-22 08:00:00,10.600092,1.4897214,19.12383,1.4897214,19.12383
2026-09-22 09:00:00,10.609071,1.5012491,19.15768,1.5012491,19.15768
2026-09-22 10:00:00,10.628671,1.5681791,19.225914,1.5681791,19.225914
2026-09-22 11:00:00,10.555396,1.501924,19.191921,1.501924,19.191921
2026-09-22 12:00:00,10.601772,1.5191746,19.292616,1.5191746,19.292616
2026-09-22 13:00:00,10.584789,1.5697792,19.287804,1.5697792,19.287804
2026-09-22 14:00:00,10.598215,1.5966356,19.376085,1.5966356,19.376085
2026-09-22 15:00:00,10.564848,1.6055572,19.364685,1.6055572,19.364685
2026-09-22 16:00:00,10.603714,1.6400557,19.394606,1.6400557,19.394606
2026-09-22 17:00:00,10.639664,1.6574428,19.49339,1.6574428,19.49339
2026-09-22 18:00:00,10.635893,1.6347275,19.516178,1.6347275,19.516178
2026-09-22 19:00:00,10.576331,1.6039312,19.5,1.6039312,19.5
2026-09-22 20:00:00,10.56633,1.5921888,19.508518,1.5921888,19.508518
2026-09-22 21:00:00,10.531367,1.5499042,19.520096,1.5499042,19.520096
2026-09-22 22:00:00,10.506224,1.5552069,19.50843,1.5552069,19.50843
2026-09-22 23:00:00,10.488295,1.5829258,19.524645,1.5829258,19.524645
2026-09-23 00:00:00,10.508944,1.6210144,19.569572,1.6210144,19.569572
2026-09-23 01:00:00,10.491238,1.5837047,19.56033,1.5837047,19.56033
2026-09-23 02:00:00,10.499322,1.5980906,19.593771,1.5980906,19.593771
2026-09-23 03:00:00,10.471228,1.6192642,19.579216,1.6192642,19.579216
2026-09-23 04:00:00,10.475299,1.6077487,19.663008,1.6077487,19.663008
2026-09-23 05:00:00,10.48743,1.641849,19.719547,1.641849,19.719547
2026-09-23 06:00:00,10.504928,1.701328,19.771814,1.701328,19.771814
2026-09-23 07:00:00,10.495907,1.6792152,19.76885,1.6792152,19.76885
2026-09-23 08:00:00,10.524172,1.7003089,19.780897,1.7003089,19.780897
2026-09-23 09:00:00,10.499415,1.6428742,19.822487,1.6428742,19.822487
2026-09-23 10:00:00,10.535924,1.6974185,19.888412,1.6974185,19.888412
2026-09-23 11:00:00,10.509427,1.6592437,19.992844,1.6592437,19.992844
2026-09-23 12:00:00,10.603251,1.7231398,20.174389,1.7231398,20.174389
2026-09-23 13:00:00,10.536763,1.744606,20.097721,1.744606,20.097721
2026-09-23 14:00:00,10.508543,1.6933541,20.061104,1.6933541,20.061104
2026-09-23 15:00:00,10.505627,1.6137714,20.123117,1.6137714,20.123117
2026-09-23 16:00:00,10.5337,1.6079662,20.200842,1.6079662,20.200842
2026-09-23 17:00:00,10.53259,1.6243291,20.16389,1.6243291,20.16389
2026-09-23 18:00:00,10.53503,1.6354337,20.181555,1.6354337,20.181555
2026-09-23 19:00:00,10.47778,1.5598694,20.134583,1.5598694,20.134583
2026-09-23 20:00:00,10.496637,1.5838066,20.159801,1.5838066,20.159801
2026-09-23 21:00:00,10.458759,1.608505,20.109621,1.608505,20.109621
2026-09-23 22:00:00,10.45719,1.6090008,20.147463,1.6090008,20.147463
2026-09-23 23:00:00,10.398664,1.5509893,20.059364,1.5509893,20.059364
2026-09-24 00:00:00,10.428969,1.5391613,20.049894,1.5391613,20.049894
2026-09-24 01:00:00,10.435085,1.4877641,20.047905,1.4877641,20.047905
2026-09-24 02:00:00,10.433773,1.4052767,19.996843,1.4052767,19.996843
2026-09-24 03:00:00,10.413359,1.3734963,19.929394,1.3734963,19.929394
2026-09-24 04:00:00,10.419186,1.3565114,19.902706,1.3565114,19.902706
2026-09-24 05:00:00,10.388278,1.3282795,19.855556,1.3282795,19.855556
2026-09-24 06:00:00,10.365978,1.3132267,19.79502,1.3132267,19.79502
2026-09-24 07:00:00,10.331167,1.2752774,19.757193,1.2752774,19.757193
2026-09-24 08:00:00,10.334119,1.2546711,19.740202,1.2546711,19.740202
2026-09-24 09:00:00,10.309977,1.2092615,19.70086,1.2092615,19.70086
2026-09-24 10:00:00,10.321196,1.2137967,19.722256,1.2137967,19.722256
2026-09-24 11:00:00,10.295397,1.2190502,19.686474,1.2190502,19.686474
2026-09-24 12:00:00,10.320044,1.1948737,19.76504,1.1948737,19.76504
2026-09-24 13:00:00,10.337864,1.1963654,19.762924,1.1963654,19.762924
2026-09-24 14:00:00,10.306126,1.182309,19.67519,1.182309,19.67519
2026-09-24 15:00:00,10.281489,1.0938963,19.578573,1.0938963,19.578573
2026-09-24 16:00:00,10.325253,1.1000577,19.528423,1.1000577,19.528423
2026-09-24 17:00:00,10.317021,1.0402243,19.487354,1.0402243,19.487354
2026-09-24 18:00:00,10.346723,1.0360281,19.454123,1.0360281,19.454123
2026-09-24 19:00:00,10.287943,0.9364311,19.401669,0.9364311,19.401669
2026-09-24 20:00:00,10.289154,0.9086027,19.37637,0.9086027,19.37637
